D5PH9LN3
['Sep 16, 2022 @ 20:34:23.141', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 20:34:23.109', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 20:34:22.971', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 20:19:22.948', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 20:04:22.817', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 19:49:22.642', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 19:35:17.021', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 19:34:22.536', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 19:20:16.794', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 19:05:16.700', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 18:50:16.370', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 18:34:19.510', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 18:34:19.479', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 18:34:18.539', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 18:19:18.506', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 18:04:18.316', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:49:18.129', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:34:18.114', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:33:18.074', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:32:18.016', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:31:17.974', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:31:12.233', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:30:17.935', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:30:16.296', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:30:16.254', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:30:15.600', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']
['Sep 16, 2022 @ 17:30:15.550', '10.100.11.92', 'D5PH9LN3', '4625', 'An account failed to log on.', 'D5PH9LN3']

DESKTOP-8CJ2ELM
['Sep 16, 2022 @ 17:31:11.855', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:30:11.821', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:29:11.741', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:28:11.693', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:27:11.669', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:27:11.654', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:27:10.974', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']
['Sep 16, 2022 @ 17:27:10.953', '10.100.10.115', 'DESKTOP-8CJ2ELM', '4625', 'An account failed to log on.', 'DESKTOP-8CJ2ELM']

DESKTOP-33THMRG
['Sep 16, 2022 @ 09:41:38.996', '10.100.10.112', 'DESKTOP-33THMRG', '4625', 'An account failed to log on.', 'DESKTOP-33THMRG']
['Sep 16, 2022 @ 09:41:32.598', '10.100.10.112', 'DESKTOP-33THMRG', '4625', 'An account failed to log on.', 'DESKTOP-33THMRG']
['Sep 16, 2022 @ 09:40:38.017', '10.100.10.112', 'DESKTOP-33THMRG', '4625', 'An account failed to log on.', 'DESKTOP-33THMRG']
['Sep 16, 2022 @ 09:40:38.004', '10.100.10.112', 'DESKTOP-33THMRG', '4625', 'An account failed to log on.', 'DESKTOP-33THMRG']

administrator
['Sep 16, 2022 @ 14:51:45.508', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']
['Sep 16, 2022 @ 14:27:04.875', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']

christina
['Sep 16, 2022 @ 19:26:17.015', '128.171.103.65', 'christina', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 19:26:08.202', '128.171.103.65', 'christina', '4625', 'An account failed to log on.', 'DCON3']

colin
['Sep 16, 2022 @ 06:56:31.670', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:31.661', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:31.423', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:31.407', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:29.641', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:29.062', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:26.882', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:26.170', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:24.483', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:24.317', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:17.581', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:17.574', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:17.396', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:17.386', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:15.930', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:15.588', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:13.658', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:13.494', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:12.135', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:56:11.632', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:26:02.849', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:26:02.832', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:26:02.525', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:26:02.515', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:26:01.124', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:26:00.891', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:59.237', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:59.044', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:57.601', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:57.425', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:50.516', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:50.511', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:50.276', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:50.269', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:48.712', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:48.544', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:47.175', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
