administrator
['Jul 26, 2022 @ 15:03:42.147', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']
['Jul 26, 2022 @ 15:02:11.584', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']
['Jul 26, 2022 @ 14:31:22.757', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']
['Jul 26, 2022 @ 14:29:51.415', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']

amihan
['Jul 26, 2022 @ 09:07:59.463', '10.100.10.2', 'amihan', '4625', 'An account failed to log on.', 'DCON2']

ana
['Jul 26, 2022 @ 06:43:16.572', '128.171.103.65', 'ana', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 06:43:15.258', '128.171.103.65', 'ana', '4625', 'An account failed to log on.', 'DCON3']

ginger
['Jul 26, 2022 @ 19:02:40.667', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 19:02:38.040', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:13.554', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:11.342', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:09.057', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:06.807', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:04.563', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:02.333', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:53:00.052', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:57.750', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:55.490', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:53.247', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:50.989', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:48.688', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:46.440', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:44.187', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:41.923', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:39.628', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:37.455', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:35.138', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:32.878', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:30.567', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:28.250', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:26.010', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:23.767', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:21.585', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:19.344', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
